epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,3860.12,0.68734,0.83987,1.01602,0.9522,0.97341,0.98754,0.80376,0.71838,0.73079,1.10191,7.29562e-05,7.29562e-05,7.29562e-05
89,3904.17,0.70397,0.8353,1.02325,0.94429,0.97266,0.98653,0.8028,0.71919,0.72694,1.10663,6.77488e-05,6.77488e-05,6.77488e-05
90,3948.52,0.66482,0.8107,1.00881,0.95789,0.95304,0.98599,0.8007,0.72047,0.73291,1.10699,6.25414e-05,6.25414e-05,6.25414e-05
91,3992.2,0.65183,0.81727,1.00659,0.96754,0.96245,0.98686,0.80098,0.72581,0.72488,1.10654,5.7334e-05,5.7334e-05,5.7334e-05
92,4036.11,0.67365,0.8403,1.01773,0.95948,0.95035,0.98564,0.79774,0.72793,0.72786,1.10071,5.21266e-05,5.21266e-05,5.21266e-05
93,4080.39,0.62162,0.78881,0.93809,0.95272,0.96251,0.98597,0.79444,0.73332,0.7329,1.09679,4.69192e-05,4.69192e-05,4.69192e-05
94,4124.32,0.58197,0.76331,0.95123,0.9489,0.97389,0.98675,0.79874,0.7329,0.72981,1.09991,4.17118e-05,4.17118e-05,4.17118e-05
95,4167.84,0.61475,0.78202,0.96895,0.95675,0.95452,0.98597,0.79327,0.73399,0.73738,1.09372,3.65044e-05,3.65044e-05,3.65044e-05
96,4211.01,0.66196,0.86151,0.97125,0.93335,0.97251,0.98602,0.79452,0.73294,0.74274,1.09167,3.1297e-05,3.1297e-05,3.1297e-05
97,4254.14,0.60856,0.78662,0.96891,0.94002,0.95452,0.98535,0.79044,0.73829,0.74667,1.09782,2.60896e-05,2.60896e-05,2.60896e-05
98,4297.81,0.63152,0.80999,0.99441,0.94367,0.95504,0.98535,0.79246,0.73196,0.74739,1.08761,2.08822e-05,2.08822e-05,2.08822e-05
99,4341.12,0.62478,0.81927,0.98187,0.96203,0.93898,0.98535,0.79338,0.73109,0.74907,1.09467,1.56748e-05,1.56748e-05,1.56748e-05
100,4384.79,0.649,0.8105,0.99732,0.96557,0.93878,0.98535,0.79602,0.73064,0.74278,1.09558,1.04674e-05,1.04674e-05,1.04674e-05
